Title,Release_Date,Expired_Date,Activity_Code,Parent_Organization,Organization,Participating_Orgs,Document_Number,Document_Type,Clinical_Trials,URL
"A Research Study of Contaminants in School Meals (U18)","6/6/2025","7/3/2025","U18","FDA","FDA","None","RFA-FD-25-024","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-FD-25-024.html"
"Intervention Research to Improve Native American Health (R34 Clinical Trial Optional)","1/22/2025","1/8/2027","R34","NIH","NIDA","NCCIH, NIA, NIAAA, NICHD, NIDCR, NIEHS, NIMH, NINR, OBSSR, ODP, ORWH, THRO","PAR-25-378","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-378.html"
"New Investigator Gateway Awards for Collaborative T1D Research (R03 Clinical Trial Not Allowed)","1/22/2025","3/7/2026","R03","NIH","NIDDK","OD","RFA-DK-26-009","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-26-009.html"
"Short Courses on Innovative Methodologies and Approaches in the Behavioral and Social Sciences (R25 Clinical Trials Not Allowed)","1/21/2025","4/10/2027","R25","NIH","OBSSR","NCCIH, NCI, NHLBI, NIDA, NIDCD, NIDCR, NIDDK, NIMH, NINR, ODP, ODS, ORWH","RFA-OD-25-003","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-25-003.html"
"Intervention Research to Improve Native American Health (R01 Clinical Trial Optional)","1/21/2025","1/8/2027","R01","NIH","NIDA","NCI, NHLBI, NIA, NIAAA, NIAID, NIBIB, NICHD, NIDCD, NIDCR, NIDDK, NIEHS, NIMH, NIMHD, NINR, NLM, OBSSR, ODP, ORWH, THRO","PAR-25-379","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-379.html"
"Laboratory Flexible Funding Model (LFFM)","1/17/2025","1/11/2028","U19","FDA","FDA","None","RFA-FD-25-007","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-FD-25-007.html"
"Asthma and Allergic Diseases Cooperative Research Centers (U19 Clinical Trial Optional)","1/16/2025","6/14/2025","U19","NIH","NIAID","None","RFA-AI-24-079","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-AI-24-079.html"
"Collaborative Research Using Biosamples and/or Data from Type 1 Diabetes Clinical Studies (R01 - Clinical Trial Not Allowed)","1/15/2025","3/9/2026","R01","NIH","NIDDK","OD","RFA-DK-26-007","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-26-007.html"
"National Cooperative Drug/Device Discovery/Development Groups (NCDDG) for the Treatment of Mental Disorders (U19 Clinical Trial Optional)","1/15/2025","10/26/2027","U19","NIH","NIMH","None","PAR-25-353","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-353.html"
"National Cooperative Drug/Device Discovery/Development Groups (NCDDG) for the Treatment of Mental Disorders (U01 Clinical Trial Optional)","1/15/2025","10/26/2027","U01","NIH","NIMH","None","PAR-25-352","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-352.html"
"NCI Pathway to Independence Award (K99/R00  Clinical Trial Required)","1/14/2025","10/15/2027","K99/R00","NIH","NCI","None","PAR-25-313","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-313.html"
"Ethical, Legal and Social Implications (ELSI) Exploratory/Developmental Research Grant (R21 Clinical Trial Optional)","1/13/2025","11/19/2026","R21","NIH","NHGRI","FIC, NCI, NEI, NIAID, NICHD, NIDA, NIDCD, NIDCR, NIEHS, NIMH, NINDS, OBSSR, ORWH, THRO","PAR-25-369","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-369.html"
"Ethical, Legal and Social Implications (ELSI) Research (R01 Clinical Trial Optional)","1/13/2025","11/19/2026","R01","NIH","NHGRI","NCI, NEI, NIAID, NICHD, NIDA, NIDCD, NIEHS, NIMH, NIMHD, NINDS, OBSSR, ORWH, THRO","PAR-25-371","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-371.html"
"Molecular Mechanisms of Combination Adjuvants (MMCA) (R01 Clinical Trial Not Allowed)","1/13/2025","6/11/2025","R01","NIH","NIAID","None","RFA-AI-25-006","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-AI-25-006.html"
"Interventions on Health and Healthcare Disparities on Non-Communicable and Chronic Diseases in Latin America: Improving Health Outcomes Across the Hemisphere (R01 - Clinical Trial Required)","1/13/2025","5/8/2027","R01","NIH","NIMHD","NINR, ORWH","PAR-25-342","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-342.html"
"Ethical, Legal and Social Implications (ELSI) Small Research Grant (R03 Clinical Trial Optional)","1/13/2025","11/17/2026","R03","NIH","NHGRI","FIC, NCI, NIAID, NICHD, NIDA, NIDCD, NIDCR, NIEHS, NIMH, OBSSR, ODSS, ORWH, THRO","PAR-25-370","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-370.html"
"NIDDK High Risk Multi-Center Clinical Study Implementation Planning Cooperative Agreements (U34 Clinical Trial Optional)","1/10/2025","6/11/2027","U34","NIH","NIDDK","None","PAR-25-090","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-090.html"
"NEI Clinical Research Study Planning Grant Program (R34 Clinical Trial Not Allowed)","1/10/2025","1/8/2028","R34","NIH","NEI","None","PAR-25-358","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-358.html"
"Limited Competition: Small Grant Program for NIDDK K01/K08/K23/K25 Recipients (R03 Clinical Trial Optional)","1/10/2025","1/8/2028","R03","NIH","NIDDK","None","PAR-25-091","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-091.html"
"Development and Testing of Novel Interventions to Improve HIV Prevention, Treatment, and Program Implementation for People Who Use Substances (R34 Clinical Trial Required)","1/8/2025","5/8/2027","R34","NIH","NIDA","None","PAR-24-329","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-24-329.html"
"HEAL Initiative: Pain Research Enhancement Program (PREP) (R15 Clinical Trial Optional)","1/8/2025","11/24/2026","R15","NIH","NCCIH","NIA, NIAAA, NIAMS, NICHD, NIDCR, NINDS","RFA-AT-25-003","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-AT-25-003.html"
"Small R01s for Clinical Trials Targeting Diseases within the Mission of NIDDK (R01 Clinical Trial Required)","1/8/2025","5/8/2026","R01","NIH","NIDDK","None","PAS-25-102","PAS","Required","https://grants.nih.gov/grants/guide/pa-files/PAS-25-102.html"
"Unveiling Health and Healthcare Disparities in Non-Communicable and Chronic Diseases in Latin America: Setting the Stage for Better Health Outcomes Across the Hemisphere (R01 - Clinical Trials Not Allowed)","1/8/2025","1/8/2027","R01","NIH","NIMHD","NCI, NIA, NIDCR, NINR, ORWH","PAR-25-377","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-377.html"
"Priority HIV/AIDS Research within the Mission of NIDDK (R01 Clinical Trial Optional)","1/8/2025","1/8/2028","R01","NIH","NIDDK","None","PAS-25-073","PAS","Optional","https://grants.nih.gov/grants/guide/pa-files/PAS-25-073.html"
"Prospective Observational Comparative Effectiveness Research in Clinical Neurosciences (UG3/UH3 Clinical Trial Not Allowed)","1/8/2025","9/8/2025","UG3/UH3","NIH","NINDS","None","PAR-25-048","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-048.html"
"Pilot Studies of Biological, Behavioral and Social Mechanisms Contributing to HIV Pathogenesis Within the Mission of NIDDK (R21 Clinical Trial Not Allowed)","1/8/2025","1/8/2028","R21","NIH","NIDDK","None","PAR-25-068","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-068.html"
"Joint NINDS/NIMH Exploratory Neuroscience Research Grant (R21 Clinical Trial Not Allowed)","1/8/2025","1/8/2028","R21","NIH","NINDS","NIMH","PA-25-150","PA","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PA-25-150.html"
"Advancing HIV/AIDS Research within the Mission of the NIDCD (R21 Clinical Trial Optional)","1/8/2025","1/8/2028","R21","NIH","NIDCD","None","PAR-25-318","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-318.html"
"Advancing HIV/AIDS Research within the Mission of the NIDCD (R01 Clinical Trial Optional)","1/8/2025","1/8/2028","R01","NIH","NIDCD","None","PAR-25-319","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-319.html"
"Multidisciplinary Studies of HIV/AIDS and Aging (R21 Clinical Trial Optional)","1/8/2025","1/8/2027","R21","NIH","NIA","NCI, NHLBI, NIAMS, NIDA, NIDCR, NIDDK, NIMH, NINDS, ORWH","PAR-25-355","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-355.html"
"Multidisciplinary Studies of HIV/AIDS and Aging (R01 Clinical Trial Optional)","1/8/2025","1/8/2027","R01","NIH","NIA","NCI, NHLBI, NIAMS, NIDA, NIDCR, NIDDK, NIMH, NINDS, ORWH","PAR-25-354","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-354.html"
"Trailblazer Award for New and Early Stage Investigators (R21 Clinical Trial Optional)","1/8/2025","1/8/2026","R21","NIH","NIBIB","NEI, NIA","PA-25-169","PA","Optional","https://grants.nih.gov/grants/guide/pa-files/PA-25-169.html"
"NIDCD Research Dissertation Fellowship for Au.D. Audiologists (F32)","1/8/2025","1/8/2028","F32","NIH","NIDCD","None","PAR-25-250","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-250.html"
"Method to Extend Research in Time (MERIT) Award Extension Request (Type 4 eSubmission Clinical Trial Optional)","1/6/2025","9/8/2028","444","NIH","NCI","None","PAR-25-324","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-324.html"
"NIDCD Cooperative Agreement for Clinical Trials in Communication Disorders (U01 - Clinical Trial Required)","1/6/2025","10/19/2027","U01","NIH","NIDCD","None","PAR-25-343","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-343.html"
"In Vivo High-Resolution Imaging for Inner Ear Visualization (R01 Clinical Trial optional)","1/6/2025","10/2/2026","R01","NIH","NIDCD","None","RFA-DC-25-005","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-DC-25-005.html"
"Cooperative Agreement for In Vivo High-Resolution Imaging for Inner Ear Visualization (U01 Clinical Trial Required)","1/6/2025","10/2/2026","U01","NIH","NIDCD","None","RFA-DC-25-003","RFA","Required","https://grants.nih.gov/grants/guide/rfa-files/RFA-DC-25-003.html"
"NIDDK High Risk Multi-Center Clinical Study Cooperative Agreement (U01 Clinical Trial Not Allowed)","1/3/2025","11/6/2026","U01","NIH","NIDDK","None","PAR-25-089","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-089.html"
"NIDDK High Risk Multi-Center Clinical Study Cooperative Agreement (U01 Clinical Trial Required)","1/3/2025","11/6/2026","U01","NIH","NIDDK","None","PA-25-147","PA","Required","https://grants.nih.gov/grants/guide/pa-files/PA-25-147.html"
"Development of Medications to Prevent and Treat Substance Use Disorders and Overdose (UG3/UH3 - Clinical Trial Optional)","1/3/2025","8/12/2025","UG3/UH3","NIH","NIDA","None","PAR-25-329","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-329.html"
"Grand Opportunity in Medications Development for Substance-Use Disorders (U01 Clinical Trial Optional)","1/3/2025","8/12/2025","U01","NIH","NIDA","None","PAR-25-328","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-328.html"
